,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
8721,45183,940,289,63433,0.014602395414226461,0.7648494711147275,0.41989166552869955,0.048443437
8722,45178,940,289,63438,0.014601261300444252,0.7648494711147275,0.41984614684327914,0.04844275
8723,45176,940,289,63440,0.01460080770425598,0.7648494711147275,0.419827939369111,0.048442602
8724,45169,940,289,63447,0.014599220339509528,0.7648494711147275,0.4197642132095225,0.04844141
8725,45166,940,289,63450,0.014598540145985401,0.7648494711147275,0.4197369019982703,0.04844138
8726,45164,940,289,63452,0.014598086718847061,0.7648494711147275,0.41971869452410215,0.048441023
8727,45162,940,289,63454,0.014597633319874523,0.7648494711147275,0.419700487049934,0.048440754
8728,45161,940,289,63455,0.014597406630949607,0.7648494711147275,0.41969138331284994,0.048440605
8729,45158,940,289,63458,0.014596726606416349,0.7648494711147275,0.41966407210159773,0.048440576
8730,45156,940,289,63460,0.014596273291925466,0.7648494711147275,0.41964586462742953,0.048440516
8731,45152,940,289,63464,0.014595366747406994,0.7648494711147275,0.41960944967909325,0.04844019
8732,45147,940,289,63469,0.01459423372510053,0.7648494711147275,0.4195639309936729,0.04844001
8733,45146,940,289,63470,0.014594007141748177,0.7648494711147275,0.4195548272565888,0.04843989
8734,45144,940,289,63472,0.014593553996149786,0.7648494711147275,0.4195366197824207,0.04843983
8735,45143,940,289,63473,0.014593327433903094,0.7648494711147275,0.4195275160453366,0.04843977
8736,45139,940,289,63477,0.014592421255258704,0.7648494711147275,0.41949110109700033,0.04843971
8737,45134,940,289,63482,0.014591288690199,0.7648494711147275,0.41944558241158,0.048439324
8738,45131,940,289,63485,0.014590609235545208,0.7648494711147275,0.4194182712003277,0.048439264
8739,45128,940,289,63488,0.014589929844167132,0.7648494711147275,0.4193909599890755,0.048438966
8740,45126,940,289,63490,0.01458947695173056,0.7648494711147275,0.41937275251490735,0.048438936
8741,45124,940,289,63492,0.014589024087409983,0.7648494711147275,0.4193545450407392,0.048438817
8742,45122,940,289,63494,0.01458857125120278,0.7648494711147275,0.41933633756657107,0.048438787
8743,45110,940,289,63506,0.0145858548241939,0.7648494711147275,0.4192270927215622,0.048437715
8744,45108,940,289,63508,0.01458540218470705,0.7648494711147275,0.4192088852473941,0.048437655
8745,45105,940,289,63511,0.014584723278149291,0.7648494711147275,0.4191815740361418,0.048437178
8746,45103,940,289,63513,0.014584270708888647,0.7648494711147275,0.41916336656197367,0.04843709
8747,45088,940,289,63528,0.01458087733449153,0.7648494711147275,0.4190268105057126,0.048435897
8748,45086,940,289,63530,0.014580425003877772,0.7648494711147275,0.41900860303154447,0.048435807
8749,45083,940,289,63533,0.014579746560575745,0.7648494711147275,0.41898129182029226,0.04843551
8750,45081,940,289,63535,0.014579294300116324,0.7648494711147275,0.41896308434612406,0.04843548
8751,45065,940,289,63551,0.014575677226279636,0.7648494711147275,0.4188174245527789,0.048434228
8752,45061,940,289,63555,0.014574773238235523,0.7648494711147275,0.41878100960444264,0.04843405
8753,45059,940,289,63557,0.014574321286261377,0.7648494711147275,0.4187628021302745,0.04843387
8754,45057,940,289,63559,0.014573869362315695,0.7648494711147275,0.4187445946561063,0.04843372
8755,45049,940,289,63567,0.014572061946765467,0.7648494711147275,0.41867176475943374,0.048432946
8756,45047,940,289,63569,0.014571610162923004,0.7648494711147275,0.4186535572852656,0.048432708
8757,45046,940,289,63570,0.014571384281506743,0.7648494711147275,0.4186444535481815,0.048432678
8758,45044,940,289,63572,0.01457093253968254,0.7648494711147275,0.4186262460740134,0.04843265
8759,45043,940,289,63573,0.014570706679273945,0.7648494711147275,0.4186171423369293,0.04843262
8760,45040,940,289,63576,0.014570029140058281,0.7648494711147275,0.4185898311256771,0.04843259
8761,45035,940,289,63581,0.014568900048046372,0.7648494711147275,0.41854431244025675,0.048431754
8762,45032,940,289,63584,0.014568222676833427,0.7648494711147275,0.4185170012290045,0.048431724
8763,45028,940,289,63588,0.014567319613191174,0.7648494711147275,0.4184805862806682,0.048431486
8764,45026,940,289,63590,0.014566868123353479,0.7648494711147275,0.41846237880650006,0.048431456
8765,45024,940,289,63592,0.01456641666150127,0.7648494711147275,0.4184441713323319,0.048431277
8766,45022,940,289,63594,0.014565965227631946,0.7648494711147275,0.4184259638581638,0.048431247
8767,45020,940,289,63596,0.014565513821742903,0.7648494711147275,0.41840775638399563,0.04843098
